stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
KS,Kansas,20,81,Other Services (except Public Administration),2020-03-28,4159,35204,0.11813998409271674,0.08322327610357386,54330
KS,Kansas,20,81,Other Services (except Public Administration),2020-04-04,4337,35204,0.12319622770139757,0.09433592900334972,49306
KS,Kansas,20,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-14,93,78300.33333333334,0.0011877344072609311,0.06343792633015007,1755
KS,Kansas,20,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-21,826,78300.33333333334,0.010549124950511066,0.03771861728846066,23563
KS,Kansas,20,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,2251,78300.33333333334,0.028748281190799526,0.04504342257974146,54330
KS,Kansas,20,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-04-04,2684,78300.33333333334,0.03427827042030472,0.05838082394396833,49306
KS,Kansas,20,71,"Arts, Entertainment, and Recreation",2020-03-14,3,18644.333333333336,1.609067992061931e-4,0.0020463847203274215,1755
KS,Kansas,20,71,"Arts, Entertainment, and Recreation",2020-03-21,932,18644.333333333336,0.04998837895339066,0.04255902095986118,23563
KS,Kansas,20,71,"Arts, Entertainment, and Recreation",2020-03-28,1976,18644.333333333336,0.10598394507714586,0.03954056109176772,54330
KS,Kansas,20,71,"Arts, Entertainment, and Recreation",2020-04-04,1637,18644.333333333336,0.08780147676684603,0.035607082263888284,49306
KS,Kansas,20,23,Construction,2020-03-14,315,66016.66666666667,0.004771522342842716,0.21487039563437926,1755
KS,Kansas,20,23,Construction,2020-03-21,866,66016.66666666667,0.01311789952032315,0.03954518471163067,23563
KS,Kansas,20,23,Construction,2020-03-28,1735,66016.66666666667,0.026281242110578133,0.034718053387761634,54330
KS,Kansas,20,23,Construction,2020-04-04,2203,66016.66666666667,0.03337036101994446,0.04791838865445687,49306
KS,Kansas,20,48-49,Transportation and Warehousing,2020-03-14,64,61863,0.0010345440731939933,0.04365620736698499,1755
KS,Kansas,20,48-49,Transportation and Warehousing,2020-03-21,1253,61863,0.020254433183001148,0.05721722453080049,23563
KS,Kansas,20,48-49,Transportation and Warehousing,2020-03-28,1451,61863,0.023455053909445064,0.029035098251090567,54330
KS,Kansas,20,48-49,Transportation and Warehousing,2020-04-04,1599,61863,0.025847437078706174,0.03478052812459216,49306
KS,Kansas,20,54,"Professional, Scientific, and Technical Services",2020-03-14,38,75378.33333333334,5.041236429566409e-4,0.02592087312414734,1755
KS,Kansas,20,54,"Professional, Scientific, and Technical Services",2020-03-21,423,75378.33333333334,0.005611692130806818,0.01931595050002283,23563
KS,Kansas,20,54,"Professional, Scientific, and Technical Services",2020-03-28,1112,75378.33333333334,0.014752249762310123,0.02225157081682475,54330
KS,Kansas,20,54,"Professional, Scientific, and Technical Services",2020-04-04,1662,75378.33333333334,0.022048776173524662,0.03615086788184626,49306
KS,Kansas,20,61,Educational Services,2020-03-14,33,115568.66666666666,2.8554452475584505e-4,0.022510231923601638,1755
KS,Kansas,20,61,Educational Services,2020-03-21,632,115568.66666666666,0.005468610292293759,0.028859765286086123,23563
KS,Kansas,20,61,Educational Services,2020-03-28,1010,115568.66666666666,0.008739393030406167,0.02021050946492176,54330
KS,Kansas,20,61,Educational Services,2020-04-04,1174,115568.66666666666,0.010158462789798851,0.025536172619306564,49306
KS,Kansas,20,42,Wholesale Trade,2020-03-14,35,58359,5.997361161089121e-4,0.023874488403819918,1755
KS,Kansas,20,42,Wholesale Trade,2020-03-21,195,58359,0.003341386932606796,0.008904516187953787,23563
KS,Kansas,20,42,Wholesale Trade,2020-03-28,712,58359,0.012200346133415583,0.014247408652499299,54330
KS,Kansas,20,42,Wholesale Trade,2020-04-04,982,58359,0.01682688188625576,0.021359899073389307,49306
KS,Kansas,20,53,Real Estate and Rental and Leasing,2020-03-14,23,16227,0.0014173907684722992,0.015688949522510234,1755
KS,Kansas,20,53,Real Estate and Rental and Leasing,2020-03-21,262,16227,0.016145929623467063,0.011964016621763551,23563
KS,Kansas,20,53,Real Estate and Rental and Leasing,2020-03-28,529,16227,0.032599987674862885,0.010585504462320407,54330
KS,Kansas,20,53,Real Estate and Rental and Leasing,2020-04-04,789,16227,0.04862266592715844,0.01716187410275373,49306
KS,Kansas,20,51,Information,2020-03-14,20,19934,0.0010033109260559848,0.013642564802182811,1755
KS,Kansas,20,51,Information,2020-03-21,347,19934,0.017407444567071335,0.01584547239599982,23563
KS,Kansas,20,51,Information,2020-03-28,403,19934,0.02021671516002809,0.00806419338055789,54330
KS,Kansas,20,51,Information,2020-04-04,721,19934,0.03616935888431825,0.015682777221908036,49306
KS,Kansas,20,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-14,37,6865.333333333333,0.00538939599922315,0.0252387448840382,1755
KS,Kansas,20,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-21,107,6865.333333333333,0.01558555059234803,0.004886067856979771,23563
KS,Kansas,20,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,237,6865.333333333333,0.03452126626529423,0.004742466082362829,54330
KS,Kansas,20,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-04-04,328,6865.333333333333,0.04777626723635658,0.007134467307608648,49306
KS,Kansas,20,92,Public Administration,2020-03-14,27,84896.66666666667,3.180336880128784e-4,0.018417462482946793,1755
KS,Kansas,20,92,Public Administration,2020-03-21,103,84896.66666666667,0.0012132396246417212,0.00470341111466277,23563
KS,Kansas,20,92,Public Administration,2020-03-28,232,84896.66666666667,0.0027327339118143625,0.00464241405530876,54330
KS,Kansas,20,92,Public Administration,2020-04-04,338,84896.66666666667,0.003981310612901959,0.007351981554791839,49306
KS,Kansas,20,52,Finance and Insurance,2020-03-14,32,58609.333333333336,5.459881247582865e-4,0.021828103683492497,1755
KS,Kansas,20,52,Finance and Insurance,2020-03-21,116,58609.333333333336,0.0019792069522487883,0.005297045527193022,23563
KS,Kansas,20,52,Finance and Insurance,2020-03-28,227,58609.333333333336,0.0038731032600040948,0.004542362028254692,54330
KS,Kansas,20,52,Finance and Insurance,2020-04-04,380,58609.333333333336,0.006483608981504652,0.00826554139296124,49306
KS,Kansas,20,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-14,1,12784.333333333334,7.822073892524705e-5,6.821282401091405e-4,1755
KS,Kansas,20,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,12,12784.333333333334,9.386488671029646e-4,5.479702269510023e-4,23563
KS,Kansas,20,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,47,12784.333333333334,0.003676374729486611,9.404890543082403e-4,54330
KS,Kansas,20,11,"Agriculture, Forestry, Fishing, and Hunting",2020-04-04,83,12784.333333333334,0.006492321330795504,0.001805368251620481,49306
KS,Kansas,20,55,Management of Companies and Enterprises,2020-03-14,8,27859,2.8716034315661007e-4,0.005457025920873124,1755
KS,Kansas,20,55,Management of Companies and Enterprises,2020-03-21,38,27859,0.0013640116299938978,0.0017352390520115075,23563
KS,Kansas,20,55,Management of Companies and Enterprises,2020-03-28,42,27859,0.001507591801572203,8.404370272541722e-4,54330
KS,Kansas,20,55,Management of Companies and Enterprises,2020-04-04,54,27859,0.001938332316307118,0.0011745769347892288,49306
MA,Massachusetts,25,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-14,30,10673,0.00281083106905275,0.004272287097692965,7449
MA,Massachusetts,25,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,237,10673,0.022205565445516724,0.001773421131397785,148452
MA,Massachusetts,25,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,387,10673,0.03625972079078047,0.003220116157161638,181423
MA,Massachusetts,25,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-14,2,1049.3333333333333,0.0019059720457433292,2.848191398461977e-4,7449
MA,Massachusetts,25,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-21,30,1049.3333333333333,0.02858958068614994,2.2448368751870696e-4,148452
MA,Massachusetts,25,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,34,1049.3333333333333,0.032401524777636595,2.8290426186949793e-4,181423
MA,Massachusetts,25,22,Utilities,2020-03-14,5,15564.666666666666,3.212404163275796e-4,7.120478496154941e-4,7449
MA,Massachusetts,25,22,Utilities,2020-03-21,47,15564.666666666666,0.003019659913479248,3.5169111044597426e-4,148452
MA,Massachusetts,25,22,Utilities,2020-03-28,82,15564.666666666666,0.005268342827772305,6.822985139205538e-4,181423
MA,Massachusetts,25,23,Construction,2020-03-14,800,170858,0.004682250757939341,0.11392765593847906,7449
MA,Massachusetts,25,23,Construction,2020-03-21,13522,170858,0.07914174343606972,0.10118228075426519,148452
MA,Massachusetts,25,23,Construction,2020-03-28,10376,170858,0.06072879233047326,0.08633572415170325,181423
MA,Massachusetts,25,31-33,Manufacturing,2020-03-14,329,244266.66666666666,0.0013468886462882097,0.04685274850469952,7449
MA,Massachusetts,25,31-33,Manufacturing,2020-03-21,2919,244266.66666666666,0.01195005458515284,0.021842262795570187,148452
MA,Massachusetts,25,31-33,Manufacturing,2020-03-28,7572,244266.66666666666,0.030998908296943233,0.06300444326105407,181423
MA,Massachusetts,25,42,Wholesale Trade,2020-03-14,196,124422.66666666667,0.0015752756732428175,0.02791227570492737,7449
MA,Massachusetts,25,42,Wholesale Trade,2020-03-21,2279,124422.66666666667,0.01831659826183868,0.01705327746183777,148452
MA,Massachusetts,25,42,Wholesale Trade,2020-03-28,4599,124422.66666666667,0.03696271847573325,0.03826696177464179,181423
MA,Massachusetts,25,44-45,Retail Trade,2020-03-14,441,352332.6666666666,0.0012516579974607334,0.06280262033608658,7449
MA,Massachusetts,25,44-45,Retail Trade,2020-03-21,9622,352332.6666666666,0.0273094178040072,0.07199940137683328,148452
MA,Massachusetts,25,44-45,Retail Trade,2020-03-28,20529,352332.6666666666,0.05826595698383536,0.17081592917408597,181423
MA,Massachusetts,25,48-49,Transportation and Warehousing,2020-03-14,521,105142.33333333334,0.004955187729649015,0.0741953859299345,7449
MA,Massachusetts,25,48-49,Transportation and Warehousing,2020-03-21,6772,105142.33333333334,0.06440792956848969,0.05067345106255612,148452
MA,Massachusetts,25,48-49,Transportation and Warehousing,2020-03-28,4740,105142.33333333334,0.04508174633116378,0.03944018239004177,181423
MA,Massachusetts,25,51,Information,2020-03-14,142,100613,0.0014113484340989733,0.020222158929080036,7449
MA,Massachusetts,25,51,Information,2020-03-21,1268,100613,0.012602745172095057,0.009488177192457347,148452
MA,Massachusetts,25,51,Information,2020-03-28,2308,100613,0.0229393815908481,0.01920420695278827,181423
MA,Massachusetts,25,52,Finance and Insurance,2020-03-14,169,172339.3333333333,9.806234986015961e-4,0.024067217317003703,7449
MA,Massachusetts,25,52,Finance and Insurance,2020-03-21,646,172339.3333333333,0.003748418817139829,0.004833882071236157,148452
MA,Massachusetts,25,52,Finance and Insurance,2020-03-28,990,172339.3333333333,0.005744480849796333,0.008237506448553028,181423
MA,Massachusetts,25,53,Real Estate and Rental and Leasing,2020-03-14,119,50190.333333333336,0.002370974490439726,0.01694673882084876,7449
MA,Massachusetts,25,53,Real Estate and Rental and Leasing,2020-03-21,1676,50190.333333333336,0.03339288441997463,0.012541155342711763,148452
MA,Massachusetts,25,53,Real Estate and Rental and Leasing,2020-03-28,1978,50190.333333333336,0.03940997934529225,0.016458371469937262,181423
